ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP,editeur,verificateur,traducteur,auteur,couverture,nature_de_Papier,n_edition,ISBN,annee_edition,emplacement,collection,BL,FA,theme
livre 1,livres,1111,HSN1,PIECES,1,Brand 1,11,70,TVA,20,Inclusive,49,1,9789920,10,اداب و اخلاقيات مهنة القضاء و مهنة المحاماة,Percentage,30,70,دار الأفاق المغربية,,,عبد الرحيم بن سلامة,,,,,"2,021",,,,,القضاء 
livre 2,livres,2222,HSN2,PIECES,1,Brand 1,11,310,TVA,20,Inclusive,217,1,9.78992E+12,10,استبعاد وترجيح الرسوم المثبتة لملكية عق 1/2,Percentage,30,310,دار الأفاق المغربية,,,المصطفى الزرقاني,,,,,"2,023",,,,,القانون العقاري 
livre 3,livres,3333,HSN3,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,70,1,342013,10,"اشغال الندوة الدولية حول موضوع ""دور الصكوك في تمويل التنمية بالمغرب """,Percentage,30,100,دار الأفاق المغربية,,,مؤلف جماعي,,,,,"2,022",,,,,قانون المالية 
livre 4,livres,4444,HSN4,PIECES,1,Brand 1,11,150,TVA,20,Inclusive,105,1,9.78992E+12,10,الاجتهاد القضائي الاسري المغربي,Percentage,30,150,دار الأفاق المغربية,,,ادريس الطالب,,,,,"2,023",,,,,مدونة الأسرة 
livre 5,livres,5555,HSN5,PIECES,1,Brand 1,11,60,TVA,20,Inclusive,42,1,9.78992E+12,10,الاجراءات العملية للتنفيذ القضائي المدني,Percentage,30,60,مكتبة الرشاد,,,الغالي راجي,,,,,"2,021",,,,,القانون المدني 
livre 6,livres,5555,HSN6,PIECES,1,Brand 1,11,80,TVA,20,Inclusive,56,1,9.78992E+12,10,الادعاء المباشر و الشكاية المباشرة في التشريع المغربي,Percentage,30,80,دار الأفاق المغربية,,,عبد الرحيم زكار,,,,,"2,023",,,,,القانون الجنائي 
livre 7,livres,5555,HSN7,PIECES,1,Brand 1,11,170,TVA,20,Inclusive,119,1,9.78992E+12,10,الادلة العلمية و مشروعيتها في التحقيق الجنائي,Percentage,30,170,دار الأفاق المغربية,,,محمد اولاد الحاج,,,,,"2,023",,,,,القانون الجنائي 
livre 8,livres,5555,HSN8,PIECES,1,Brand 1,11,65,TVA,20,Inclusive,45.5,1,9.78992E+12,10,الاطار المفاهيمي في العلاقة الزوجية بين التوابث و المتغيرات,Percentage,30,65,دار الأفاق المغربية,,,محمد ابجطيط,,,,,"2,022",,,,,مدونة الأسرة 
livre 9,livres,5555,HSN9,PIECES,1,Brand 1,11,130,TVA,20,Inclusive,91,1,9.78992E+12,10,الاعتقال الاحتياطي بين اجراءات البحث التمهيدي و القضائي,Percentage,30,130,دار الأفاق المغربية,,,سعيد بوطويل,,,,,"2,021",,,,,القانون الجنائي 
livre 10,livres,5555,HSN10,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,70,1,9.78992E+12,10,الانعاش العقاري : دراسة قانونية تاصيلية مقارنة,Percentage,30,100,مكتبة الرشاد,,,سارة عبد الصمد,,,,,"2,021",,,,,القانون العقاري 
livre 11,livres,5555,HSN11,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,70,1,1995185,10,الاوراق التجارية -دراسة في وسائل الاداء و الائتمان -,Percentage,30,100,دار الأفاق المغربية,,,محمد اخياظ,,,,,"2,023",,,,,القانون التجاري 
livre 12,livres,5555,HSN12,PIECES,1,Brand 1,11,75,TVA,20,Inclusive,52.5,1,9.78992E+12,10,البعد البيئي للسياسة العمومية التعميرية بالمغرب,Percentage,30,75,دار الأفاق المغربية,,,فاكمة الزهراء سعيدي,,,,,"2,022",,,,,القانون العقاري 
livre 13,livres,5555,HSN13,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,70,1,9.78992E+12,10,التحكيم الداخلي و الدولي على ضوء قانون التحكيم المغربي الجديد,Percentage,30,100,دار الأفاق المغربية,,,عبد الاالاه المحبوب,,,,,"2,023",,,,,القانون التجاري 
livre 14,livres,5555,HSN14,PIECES,1,Brand 1,11,150,TVA,20,Inclusive,105,1,9.78992E+12,10,التدبير العمراني بالمغرب,Percentage,30,150,مكتبة الرشاد,,,مصطفى جرموني,,,,,"2,021",,,,,القانون العقاري 
