ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP,editeur,verificateur,traducteur,auteur,theme,nature_de_Papier,n_edition,ISBN,annee_edition,emplacement,collection,BL,FA
livre 1,livres,1111,HSN1,PIECES,1,Brand 1,11,70,TVA,20,Inclusive,,1,9789920,10,اداب و اخلاقيات مهنة القضاء و مهنة المحاماة,Percentage,30,,دار الأفاق المغربية,,,عبد الرحيم بن سلامة,القضاء ,,,,"2,021",,,,
livre 2,livres,2222,HSN2,PIECES,1,Brand 1,11,310,TVA,20,Inclusive,,1,9.79E+12,10,استبعاد وترجيح الرسوم المثبتة لملكية عق 1/2,Percentage,30,,دار الأفاق المغربية,,,المصطفى الزرقاني,القانون العقاري ,,,,"2,023",,,,
livre 3,livres,3333,HSN3,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,,1,342013,10,"اشغال الندوة الدولية حول موضوع ""دور الصكوك في تمويل التنمية بالمغرب """,Percentage,30,,دار الأفاق المغربية,,,مؤلف جماعي,قانون المالية ,,,,"2,022",,,,
livre 4,livres,4444,HSN4,PIECES,1,Brand 1,11,150,TVA,20,Inclusive,,1,9.79E+12,10,الاجتهاد القضائي الاسري المغربي,Percentage,30,,دار الأفاق المغربية,,,ادريس الطالب,مدونة الأسرة ,,,,"2,023",,,,
livre 5,livres,5555,HSN5,PIECES,1,Brand 1,11,60,TVA,20,Inclusive,,1,9.79E+12,10,الاجراءات العملية للتنفيذ القضائي المدني,Percentage,30,,مكتبة الرشاد,,,الغالي راجي,القانون المدني ,,,,"2,021",,,,
livre 6,livres,5555,HSN6,PIECES,1,Brand 1,11,80,TVA,20,Inclusive,,1,9.79E+12,10,الادعاء المباشر و الشكاية المباشرة في التشريع المغربي,Percentage,30,,دار الأفاق المغربية,,,عبد الرحيم زكار,القانون الجنائي ,,,,"2,023",,,,
livre 7,livres,5555,HSN7,PIECES,1,Brand 1,11,170,TVA,20,Inclusive,,1,9.79E+12,10,الادلة العلمية و مشروعيتها في التحقيق الجنائي,Percentage,30,,دار الأفاق المغربية,,,محمد اولاد الحاج,القانون الجنائي ,,,,"2,023",,,,
livre 8,livres,5555,HSN8,PIECES,1,Brand 1,11,65,TVA,20,Inclusive,,1,9.79E+12,10,الاطار المفاهيمي في العلاقة الزوجية بين التوابث و المتغيرات,Percentage,30,,دار الأفاق المغربية,,,محمد ابجطيط,مدونة الأسرة ,,,,"2,022",,,,
livre 9,livres,5555,HSN9,PIECES,1,Brand 1,11,130,TVA,20,Inclusive,,1,9.79E+12,10,الاعتقال الاحتياطي بين اجراءات البحث التمهيدي و القضائي,Percentage,30,,دار الأفاق المغربية,,,سعيد بوطويل,القانون الجنائي ,,,,"2,021",,,,
livre 10,livres,5555,HSN10,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,,1,9.79E+12,10,الانعاش العقاري : دراسة قانونية تاصيلية مقارنة,Percentage,30,,مكتبة الرشاد,,,سارة عبد الصمد,القانون العقاري ,,,,"2,021",,,,
livre 11,livres,5555,HSN11,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,,1,1995185,10,الاوراق التجارية -دراسة في وسائل الاداء و الائتمان -,Percentage,30,,دار الأفاق المغربية,,,محمد اخياظ,القانون التجاري ,,,,"2,023",,,,
livre 12,livres,5555,HSN12,PIECES,1,Brand 1,11,75,TVA,20,Inclusive,,1,9.79E+12,10,البعد البيئي للسياسة العمومية التعميرية بالمغرب,Percentage,30,,دار الأفاق المغربية,,,فاكمة الزهراء سعيدي,القانون العقاري ,,,,"2,022",,,,
livre 13,livres,5555,HSN13,PIECES,1,Brand 1,11,100,TVA,20,Inclusive,,1,9.79E+12,10,التحكيم الداخلي و الدولي على ضوء قانون التحكيم المغربي الجديد,Percentage,30,,دار الأفاق المغربية,,,عبد الاالاه المحبوب,القانون التجاري ,,,,"2,023",,,,
livre 14,livres,5555,HSN14,PIECES,1,Brand 1,11,150,TVA,20,Inclusive,,1,9.79E+12,10,التدبير العمراني بالمغرب,Percentage,30,,مكتبة الرشاد,,,مصطفى جرموني,القانون العقاري ,,,,"2,021",,,,
livre 15,livres,5555,HSN15,PIECES,1,Brand 1,11,70,TVA,20,Inclusive,,1,9.79E+12,10,التنظيم الاداري المغربي ط 4 2021,Percentage,30,,دار الأفاق المغربية,,,عبد الواحد القريسي,القانون الإداري ,,,,"2,021",,,,
livre 16,livres,5555,HSN16,PIECES,1,Brand 1,11,125,TVA,20,Inclusive,,1,9.79E+12,10,التنظيم القانوني لاعلان التجاري,Percentage,25,,دار نشر المعرفة,,,احمد بوصوف,القانون التجاري ,,,,"2,021",,,,
livre 17,livres,5555,HSN17,PIECES,1,Brand 1,11,120,TVA,20,Inclusive,,1,9.79E+12,10,التنظيم القضائي,Percentage,30,,مكتبة الرشاد,,,محمد نعناني,القانون المدني ,,,,"2,022",,,,
livre 18,livres,5555,HSN18,PIECES,1,Brand 1,11,80,TVA,20,Inclusive,,1,9.79E+12,10,التنظيم القضائي 2022,Percentage,25,,المؤلف,,,عبد الرحمان الشرقاوي,القانون المدني ,,,,"2,022",,,,
