ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP,editeur,verificateur,traducteur,auteur,couverture,nature_de_Papier,n_edition,ISBN,annee_edition,emplacement,collection,BL,FA,theme,image
اداب و اخلاقيات مهنة القضاء و مهنة المحاماة,livres,,,PIECES,5,Brand 1,11,70,TVA,20,Inclusive,49,10,9789920,10,اداب و اخلاقيات مهنة القضاء و مهنة المحاماة,Percentage,30,70,دار الأفاق المغربية,,,عبد الرحيم بن سلامة,,,,,2021,,,,,القضاء ,uploads/items/1.jpg
استبعاد وترجيح الرسوم المثبتة لملكية عق 1/2,livres,,,PIECES,5,Brand 1,11,310,TVA,20,Inclusive,217,10,9789920508087,10,استبعاد وترجيح الرسوم المثبتة لملكية عق 1/2,Percentage,30,310,دار الأفاق المغربية,,,المصطفى الزرقاني,,,,,2023,,,,,القانون العقاري ,uploads/items/2.jpg
"اشغال الندوة الدولية حول موضوع ""دور الصكوك في تمويل التنمية بالمغرب """,livres,,,PIECES,5,Brand 1,11,100,TVA,20,Inclusive,70,10,342013,10,"اشغال الندوة الدولية حول موضوع ""دور الصكوك في تمويل التنمية بالمغرب """,Percentage,30,100,دار الأفاق المغربية,,,مؤلف جماعي,,,,,2022,,,,,قانون المالية ,uploads/items/3.jpg
الاجتهاد القضائي الاسري المغربي,livres,,,PIECES,5,Brand 1,11,150,TVA,20,Inclusive,105,10,9789920508032,10,الاجتهاد القضائي الاسري المغربي,Percentage,30,150,دار الأفاق المغربية,,,ادريس الطالب,,,,,2023,,,,,مدونة الأسرة ,uploads/items/4.jpg
الاجراءات العملية للتنفيذ القضائي المدني,livres,,,PIECES,5,Brand 1,11,60,TVA,20,Inclusive,42,10,9789920656450,10,الاجراءات العملية للتنفيذ القضائي المدني,Percentage,30,60,مكتبة الرشاد,,,الغالي راجي,,,,,2021,,,,,القانون المدني ,uploads/items/5.jpg
الادعاء المباشر و الشكاية المباشرة في التشريع المغربي,livres,,,PIECES,5,Brand 1,11,80,TVA,20,Inclusive,56,10,9789920765961,10,الادعاء المباشر و الشكاية المباشرة في التشريع المغربي,Percentage,30,80,دار الأفاق المغربية,,,عبد الرحيم زكار,,,,,2023,,,,,القانون الجنائي ,uploads/items/6.jpg
الادلة العلمية و مشروعيتها في التحقيق الجنائي,livres,,,PIECES,5,Brand 1,11,170,TVA,20,Inclusive,119,10,9789920508056,10,الادلة العلمية و مشروعيتها في التحقيق الجنائي,Percentage,30,170,دار الأفاق المغربية,,,محمد اولاد الحاج,,,,,2023,,,,,القانون الجنائي ,uploads/items/7.jpg
الاطار المفاهيمي في العلاقة الزوجية بين التوابث و المتغيرات,livres,,,PIECES,5,Brand 1,11,65,TVA,20,Inclusive,45.5,10,9789920988193,10,الاطار المفاهيمي في العلاقة الزوجية بين التوابث و المتغيرات,Percentage,30,65,دار الأفاق المغربية,,,محمد ابجطيط,,,,,2022,,,,,مدونة الأسرة ,uploads/items/8.jpg
الاعتقال الاحتياطي بين اجراءات البحث التمهيدي و القضائي,livres,,,PIECES,5,Brand 1,11,130,TVA,20,Inclusive,91,10,9789920765701,10,الاعتقال الاحتياطي بين اجراءات البحث التمهيدي و القضائي,Percentage,30,130,دار الأفاق المغربية,,,سعيد بوطويل,,,,,2021,,,,,القانون الجنائي ,uploads/items/9.jpg
الانعاش العقاري : دراسة قانونية تاصيلية مقارنة,livres,,,PIECES,5,Brand 1,11,100,TVA,20,Inclusive,70,10,9789920791595,10,الانعاش العقاري : دراسة قانونية تاصيلية مقارنة,Percentage,30,100,مكتبة الرشاد,,,سارة عبد الصمد,,,,,2021,,,,,القانون العقاري ,uploads/items/10.jpg
